	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	s_class	s_glat	s_glon	s_nan_spectra	s_zero_spectra
0	b'HD 201433A'	21 08 38.894	+30 12 20.27	7.0	7.0	26.0	26.0	90.0	B	O	b'2000A&A...355L..27H'		2.3659202e-06	1.9408862e-06												plsr	-11.77431071869675	76.10774252539082	False	False
1	b'* nu. For'	02 04 29.4462	-29 17 48.491	14.0	14.0	0.1834	0.1942	90.0	A	O	b'2018yCat.1345....0G'	9.772367e-05	3.0199519e-05	2.0417378000000002e-05	1.862087e-05	1.3489632999999999e-05	2.2998529e-05	1e-05	8.953651e-06	9.660512e-06						plsr	-73.77799282801924	224.88760108975063	False	False
2	b'* phi Her'	16 08 46.1668	+44 56 05.732	14.0	14.0	0.371	0.3754	90.0	A	O	b'2018yCat.1345....0G'	0.00012022642499999999	6.309576600000001e-05	5.370318e-05	5.370318e-05	4.365157e-05	6.854882e-05	4.8977887e-05	4.6773523e-05	4.786299e-05						plsr	47.10739961314703	70.8478254771243	False	False
3	b'V* CG And'	00 00 43.6345	+45 15 12.002	14.0	14.0	0.055	0.0422	90.0	A	O	b'2018yCat.1345....0G'		5.0234286e-07	4.4977971999999993e-07			4.6784308000000004e-07	3.9174182e-07	3.1188893e-07	3.0831868000000003e-07						plsr	-16.702455047004626	113.64935782367607	False	False
4	b'HD 133029'	15 00 38.7184	+47 16 38.793	14.0	14.0	0.0472	0.0421	90.0	A	O	b'2018yCat.1345....0G'		5.623413000000001e-07	4.456564e-07			4.800651e-07	3.2210679999999995e-07	2.6001592000000004e-07	2.6915336e-07						plsr	57.71007399480583	80.1919424561738	False	False
5	b'HD  23964'	03 49 58.0538	+23 50 55.299	9.0	9.0	7.2	5.96	90.0	A	O	b'2007A&A...474..653V'		1.5848923999999998e-07	1.8197018e-07	5.011869999999999e-07	1.8197018e-07		2.8510178000000003e-07	2.5703949999999996e-07	3.0619640000000005e-07						plsr	-23.25970502692761	167.31196169690858	False	False
6	b'HD  83059'	09 34 06.0267	-53 03 40.777	14.0	14.0	0.0316	0.0378	90.0	A	O	b'2018yCat.1345....0G'		1.3489633e-10	1.7782795e-10			2.3670087999999996e-10	5.1999555e-10	5.382697e-10	5.807643e-10						plsr	-0.9126870412369802	275.8089967187973	False	False
7	b'*  33 Lib'	15 29 34.7422	-17 26 27.375	14.0	14.0	0.0507	0.0509	90.0	A	O	b'2018yCat.1345....0G'	6.0255985e-08	8.511376999999999e-08	2.0417376999999997e-07			2.2787667000000002e-07	4.8528835e-07	5.2360025e-07	5.66239e-07						plsr	31.209151560222736	348.17052657472533	False	False
8	b'V* EP Vir'	12 47 02.3097	+05 57 01.395	14.0	14.0	0.0442	0.0339	90.0	A	O	b'2018yCat.1345....0G'	5.8884365e-07	5.1286145e-07	4.5708802e-07			5.2917574e-07	5.260175e-07	4.591982e-07	4.7206282e-07						plsr	68.79628486647236	299.90617214163	False	False
9	b'HD 103498'	11 55 11.3277	+46 28 11.299	14.0	14.0	0.1598	0.24100000000000002	90.0	A	O	b'2018yCat.1345....0G'		9.840112e-08	1.08392655e-07			1.0700396000000001e-07	1.552387e-07	1.3365952999999998e-07	1.3835657e-07						plsr	67.69728093495604	149.09748717852747	False	False
10	b'HD  52264'	07 00 24.0575	-03 00 40.274	14.0	14.0	0.0503	0.0513	90.0	A	O	b'2018yCat.1345....0G'		2.290866e-09	2.0892947e-09			2.2672542e-09									plsr	0.6185814425111359	216.63348261149108	False	False
11	b'*  53 Tau'	04 19 26.0972	+21 08 32.310	14.0	14.0	0.1325	0.0837	90.0	A	O	b'2018yCat.1345....0G'		3.863669e-06	3.2960982000000003e-06			3.3923443e-06	2.6791681e-06	2.4603664e-06	2.449063e-06						plsr	-20.278906820872255	174.51647542839245	False	False
12	b'*  21 Per'	02 57 17.2822	+31 56 03.197	14.0	14.0	0.2473	0.19699999999999998	90.0	A	O	b'2018yCat.1345....0G'		8.298511e-06	8.072351e-06			8.443059e-06	7.780362e-06	5.714786e-06	5.902009400000001e-06						plsr	-23.769684399802607	151.879218969602	False	False
13	b'* iot CrB'	16 01 26.5649	+29 51 03.813	14.0	14.0	0.1041	0.1221	90.0	A	O	b'2018yCat.1345....0G'		1.1994992999999999e-05	1.0690543999999999e-05			1.19371325e-05	9.7051e-06	7.852356e-06	8.491803e-06						plsr	48.455860313838436	48.304453215319825	False	False
14	b'* bet UMa'	11 01 50.4905	+56 22 56.833	14.0	14.0	0.6603	0.6857	90.0	A	O	b'2018yCat.1345....0G'	0.004466837	0.004466837	0.0042657964	0.0048977885999999995	0.004466837	0.0054890863	0.004466837	0.0043752209999999995	0.004466837						plsr	54.804087122206276	149.16603433989715	False	False
15	b'EM* MWC   17'	01 47 38.4697	+60 41 57.304	14.0	14.0	0.0174	0.0221	90.0	A	O	b'2018yCat.1345....0G'						6.303759600000001e-13	1.035143e-10	1.4791086e-09	5.2480722e-08						Be	-1.4254759641778352	129.75783282440528	False	False
16	b'HD 204185'	21 24 19.2400	+61 16 16.920	14.0	14.0	0.0347	0.0321	90.0	A	O	b'2018yCat.1345....0G'		1.2022642e-09	1.5848926e-09			1.7619772e-09	2.4043605e-09	2.6791709999999995e-09	2.728977e-09						Be	7.7695398967471245	100.52867722878	False	False
17	b'RX J0532.4-6535'	05 32 27.2003	-65 34 54.983	8.0	8.0	300.0	300.0	90.0	C	I	b'2009AJ....138.1003B'		2.2908657999999996e-14													Be	-32.64950044323856	275.4091086110076	False	False
18	b'CPD-60  3125'	11 36 09.5642	-61 35 38.141	14.0	14.0	0.0386	0.0412	90.0	A	O	b'2018yCat.1345....0G'	2.6302684e-09	7.079464e-10	7.4131007e-10	1.9054595e-10		6.532805400000001e-10	6.1234995e-10	5.6234134e-10	5.807643e-10						Be	-0.01915058517030103	294.10433601538534	False	False
19	b'[SGR2006]  71'	16 53 42.1654	-41 41 12.113	14.0	14.0	0.0394	0.0339	90.0	A	O	b'2018yCat.1345....0G'	1.0280165e-12	4.988844e-13	9.840111999999998e-13		2.890683e-12	1.2125514e-12	6.053403e-12	8.317639e-12	9.527963499999999e-12						Be	1.338479453330497	343.517062266739	False	False
20	b'HD 112147'	12 55 08.4591	-59 01 07.418	14.0	14.0	0.0239	0.028999999999999998	90.0	A	O	b'2018yCat.1345....0G'	2.8840317e-09	4.830588e-10	7.4131007e-10	2.6302685e-10		1.2008816e-09	6.637424e-09	1.03276125e-08	2.2387207e-08		1.0471297e-10	5.8884425e-10	1.7782794e-09		Be	3.849586273067863	303.40953420641256	False	False
21	b'CD-56   152'	00 49 01.3061	-56 05 49.340	14.0	14.0	0.0336	0.0318	90.0	A	O	b'2018yCat.1345....0G'		7.7624775e-11	6.606929599999999e-11			4.7687003999999995e-11	2.4945965e-11	2.415463e-11	2.6121603e-11						Be	-61.02795023651685	303.6275029959192	False	False
22	b'EM* MWC  473'	04 36 55.5475	+53 52 33.750	14.0	14.0	0.0554	0.0359	90.0	A	O	b'2018yCat.1345....0G'		6.025592400000001e-13	3.467368e-12			1.7446173e-11	1.4521107e-10	2.2387231e-10	3.2734096e-10						Be	4.459338974392924	152.42816106186584	False	False
23	b'CD-46  4394'	08 38 14.5235	-47 14 40.380	14.0	14.0	0.0229	0.0237	90.0	A	O	b'2018yCat.1345....0G'		8.317639e-12	1.7377998e-11			1.6599706e-11	6.698849e-11	8.336803e-11	1.2705743e-10						Be	-3.6308219737085135	265.50870003733826	False	False
24	b'[MA93]  755'	00 54 21.1737	-73 16 31.868	14.0	14.0	0.0395	0.0281	90.0	A	O	b'2018yCat.1345....0G'			1.0764642e-16		7.177942e-16	1.6180787e-16	2.7542259999999997e-15	9.120109e-15	1.2589265e-14						Be	-43.85108760973383	302.6411281218979	False	False
25	b'EM* GGA    2'	00 50 05.9727	+64 45 35.076	14.0	14.0	0.0735	0.0886	90.0	A	O	b'2018yCat.1345....0G'		3.9264482e-13	2.8510178e-12			3.5367160000000004e-12	9.120109e-10	1.19674075e-08	1.0115797000000001e-07						Be	1.8883667097485792	122.78917352195705	False	False
26	b'EM* GGR   44'	22 04 12.3050	+53 04 01.351	14.0	14.0	0.051	0.0388	90.0	A	O	b'2018yCat.1345....0G'		5.888443e-14	3.0902939e-13			4.3691800000000003e-13	4.655863400000001e-12	7.030725e-12	1.164126e-11						Be	-1.9556557467188744	99.30349232775716	False	False
27	b'LHA 120-S  76'	04 59 23.6757	-69 35 55.933	14.0	14.0	0.0168	0.0139	90.0	A	O	b'2018yCat.1345....0G'		1.4125363000000002e-14	1.9952632e-14	1.9952632e-14	5.834448e-14	2.5084171000000002e-14	1.1402503e-13	1.9230934e-13	2.5822584e-13		1.659588e-14	2.754226e-14	2.0892947e-14		Be	-34.9655337924679	280.87405563612924	False	False
28	b'UCAC2   1674039'	05 22 02.7762	-69 46 14.502	14.0	14.0	0.0294	0.0288	90.0	A	O	b'2018yCat.1345....0G'		7.244353999999999e-16	1.4454393e-15	1.9952631e-16		5.2698695e-16	6.025592299999999e-16	7.413100500000001e-16	7.413100500000001e-16						Be	-33.01566620942515	280.51184042544395	False	False
29	b'EM* MWC  939'	18 34 16.2191	-17 36 13.986	14.0	14.0	0.0472	0.0463	90.0	A	O	b'2018yCat.1345....0G'			3.9810752e-13			8.375299000000001e-13	9.908326e-11	4.4463104e-09	1.6865539e-07						Be	-4.267877661410025	15.322375672289924	False	False
30	b'BD+50  3180'	20 43 50.2145	+50 58 22.312	14.0	14.0	0.0213	0.0266	90.0	A	O	b'2018yCat.1345....0G'		4.6773522999999995e-11	1.2302692e-10			1.9938835e-10	2.3388396e-09	3.4355814e-09	4.8528834e-09						Be	5.179140530451837	89.0320419202025	False	False
31	b'NGC  7654   773'	23 24 18.9905	+61 39 02.354	14.0	14.0	0.0217	0.0211	90.0	A	O	b'2018yCat.1345....0G'		1.6982418e-13	5.888443e-13			8.346419e-13	1.20503685e-11	1.659588e-11	2.0230179999999998e-11						Be	0.5075406884432475	112.7835222940915	False	False
32	b'EM* MWC  709'	02 21 59.1454	+70 55 52.975	14.0	14.0	0.0209	0.02	90.0	A	O	b'2018yCat.1345....0G'		1.5135624e-11	6.606929599999999e-11			1.1305763999999999e-10	1.3304532e-09	2.079696e-09	3.491405e-09						Be	9.358027516045546	130.25360778523782	False	False
33	b'BD-13  5074'	18 41 31.5744	-13 23 31.725	14.0	14.0	0.0541	0.0501	90.0	A	O	b'2018yCat.1345....0G'	1.6218103e-11	9.5499155e-12	2.754226e-11	2.8183815999999996e-11	2.6302685e-10	5.188002e-11	6.77642e-10	1.1748967e-09	1.7498468e-09						Be	-3.909501851590352	19.87977639373276	False	False
34	b'EM* AS  368'	19 52 46.7160	+28 46 52.747	8.0	8.0	0.23600000000000002	0.2	0.0	A	O	b'2016A&A...595A...2G'		8.709628e-12	1.5135624e-11			1.1885017e-11	7.8523646e-11	1.0715186399999999e-10	1.4757054e-10						Be	0.7590550324864128	65.22444134373795	False	False
35	b'[MA93]  239'	00 48 34.8389	-73 17 53.921	14.0	14.0	0.022000000000000002	0.0194	90.0	A	O	b'2018yCat.1345....0G'		8.3368027e-16	9.332549e-16		1.9769675e-15	1.133445e-15	3.2658778000000005e-15	4.7097768e-15	1.172196e-14						Be	-43.8283623418205	303.21647871864934	False	False
36	b'BD+50   395'	01 56 02.6711	+50 56 59.229	14.0	14.0	0.0505	0.0818	90.0	A	O	b'2018yCat.1345....0G'		2.754226e-11	2.8183815999999996e-11			2.6539922999999997e-11	4.539412e-11	5.0350023e-11	6.412098e-11						Be	-10.628949564011688	133.2034739465501	False	False
37	b'PN M  1-44'	18 16 17.3420	-27 04 30.539	14.0	14.0	0.0606	0.055	90.0	A	O	b'2018yCat.1345....0G'		3.1622776e-13	3.1622776e-13			7.3722566e-13	6.4565485e-11	2.786119e-10	3.9355032999999997e-10						Be	-4.961446320151335	4.971126601153759	False	False
38	b'PN M  2-9'	17 05 37.952	-10 08 34.58	7.0	7.0			0.0	D		b'2003A&A...408.1029K'		2.5703948000000003e-13	1.9952632000000002e-15												Be	18.055478488112346	10.898829857558296	False	False
39	b'EM* MWC 1066'	22 37 34.7185	+58 19 56.349	14.0	14.0	0.0377	0.0364	90.0	A	O	b'2018yCat.1345....0G'		1.8197016999999998e-12	6.025592400000001e-12			1.2061461e-11	2.243881e-10	4.2072622999999996e-10	9.68278e-10						Be	-0.09676222133152312	106.104269666579	False	False
40	b'CD-24  5721'	07 39 06.1600	-24 45 04.947	14.0	14.0	0.0199	0.0279	90.0	A	O	b'2018yCat.1345....0G'	1.4454392499999998e-11	3.8018933e-12	1.14815475e-11	1.6218103e-11		2.5240596e-11	5.7279653e-10	3.2359382e-09	3.837073600000001e-08		5.3703123e-12	2.5118843e-11	3.5481353999999996e-11		Be	-1.3768711715914357	240.20657007002583	False	False
41	b'HD 306798'	11 36 09.3688	-61 41 41.572	14.0	14.0	0.0341	0.0341	90.0	A	O	b'2018yCat.1345....0G'	1.4454392e-09	1.8197018e-10	2.2908657999999997e-10	1.4791086000000001e-10		3.955491e-10	4.1115003e-10	4.0831943e-10	4.0831943e-10		3.3884395e-11	1.3182563e-10	2.5118842999999997e-10		Be	-0.11596437370898532	294.13295000900035	False	False
42	b'CD-29  6963'	08 56 48.2457	-30 11 01.885	14.0	14.0	0.0167	0.0247	90.0	A	O	b'2018yCat.1345....0G'		3.9810752e-10	5.6234134e-10			7.384149e-10	2.6977378e-09	4.092611e-09	9.375623e-09						Be	9.839876218456398	254.4016834802412	False	False
43	b'[GKF2010] MN68'	18 02 22.340	-22 38 00.24	7.0	7.0	60.0	60.0	45.0	B	N	b'2003yCat.2246....0C'							2.5118842e-14	8.511386e-12	2.5292972999999996e-10						Be	-0.05474659867548149	7.342864522445838	False	False
44	b'EM* AS   77'	03 54 47.9225	+44 56 19.595	14.0	14.0	0.0347	0.0205	90.0	A	O	b'2018yCat.1345....0G'		3.8904526e-12	7.079464e-12			9.455846e-12	4.8083953000000004e-11	6.025591999999999e-11	1e-10						Be	-6.7077236672023925	153.68371243760896	False	False
45	b'BD+59   246'	01 24 29.1380	+60 17 23.267	14.0	14.0	0.0201	0.022000000000000002	90.0	A	O	b'2018yCat.1345....0G'		1.2882485e-10	3.7153497e-10			6.508792400000001e-10	5.6493676e-09	7.943275e-09	1.0139114e-08						Be	-2.3194189001562413	127.019284486763	False	False
46	b'HD 141969'	15 56 01.6946	-66 09 09.229	14.0	14.0	0.0368	0.0434	90.0	A	O	b'2018yCat.1345....0G'	4.2657964e-13	1.7782794e-11	1.122019e-11	1.3182563500000002e-11		1.4521106500000001e-11	2.8054333000000003e-11	2.9853852e-11	8.433341e-11						Be	-9.657996275742194	320.1341496689037	False	False
47	b'CPD-54  3736'	10 29 34.2561	-55 08 10.123	14.0	14.0	0.0357	0.0324	90.0	A	O	b'2018yCat.1345....0G'	4.7863043e-11	1.548815e-11	1.7782794e-11			1.9063385e-11	3.2960943e-11	3.5075193e-11	5.0815983e-11						Be	2.304256154383645	283.54508286565016	False	False
48	b'EM* LkHA  194'	21 01 40.5899	+44 19 44.289	14.0	14.0	0.0129	0.0158	90.0	A	O	b'2018yCat.1345....0G'		1e-14				2.9709847e-14	9.772367e-13	1.9230933999999996e-12	3.9627763e-12						Be	-1.3750092484101155	85.84080005634526	False	False
49	b'EM* AS  222'	17 14 18.0011	-38 58 59.646	14.0	14.0	0.1104	0.0929	90.0	A	O	b'2018yCat.1345....0G'		1.0232936e-14	3.630784e-13	1.4454393e-12		4.0982677e-12	5.9841216e-09	1.3396762e-07	2.1827311e-06		5.0118702e-14	2.8183816e-12	1.8197019e-11		Be	-0.13381397093750008	348.0489676408458	False	False
50	b'2MASS J02180678+5642282'	02 18 06.7893	+56 42 28.189	14.0	14.0	0.06	0.0848	90.0	A	O	b'2018yCat.1345....0G'		1.4125362999999998e-17	9.332528e-17			2.1463488999999996e-16	6.2086935e-15	1.9998602e-14	2.3659175e-14						Be	-4.177767908858988	134.6572157076613	False	False
51	b'EM* MWC  685'	01 11 55.2071	+59 18 05.739	14.0	14.0	0.0324	0.0375	90.0	A	O	b'2018yCat.1345....0G'		3.0902939e-12	5.248078e-12			6.532805e-12	3.026913e-11	3.6897794e-11	4.4463103e-11						Be	-3.466063859514683	125.54827904177824	False	False
52	b'HD 246537'	05 42 40.5004	+26 20 43.170	14.0	14.0	0.0578	0.0478	90.0	A	O	b'2018yCat.1345....0G'		3.3113148e-10	3.3113148e-10			3.202579e-10	4.0831943e-10	3.8018932000000003e-10	4.092611e-10						Be	-1.9118589498157288	181.86650868957454	False	False
53	b'Gaia 18auy'	15 18 00.6964	-57 43 22.239	14.0	14.0	0.0416	0.047	90.0	A	O	b'2018yCat.1345....0G'					3.3113147999999997e-15	1.713168e-16	2.7542262e-13	1.0715186e-12	1.8197016999999998e-12						Be	-0.23977511437180726	321.51750849398553	False	False
54	b'LHA 120-S 137'	05 41 43.7414	-69 37 38.285	14.0	14.0	0.013000000000000001	0.0171	90.0	A	O	b'2018yCat.1345....0G'	3.1332877000000003e-14	4.9544986e-15	6.324113e-15	4.8977834e-15	3.443497e-14	1.2548747e-14	7.294574e-14	5.780961599999999e-13	7.2277015e-12		8.128303000000002e-15	1.0715186000000001e-14	7.762478e-15		Be	-31.349197337068023	280.044371200102	False	False
55	b'CPD-59  4561'	12 53 52.703	-60 23 57.88	7.0	7.0			0.0	D		b'2001A&A...369..511S'		4.3450977e-13	8.279426e-13												Be	2.470907109566015	303.2335696544933	False	False
56	b'EM* MWC 1073'	22 48 21.2037	+57 32 58.535	14.0	14.0	0.0239	0.0227	90.0	A	O	b'2018yCat.1345....0G'		3.0199484e-12	5.248078e-12			2.0248848000000002e-11	3.0760963e-10	5.236003e-10	9.705110000000001e-10						Be	-1.4627147171097012	106.99352429301096	False	False
57	b'LS  VI +04   15'	06 32 34.9500	+04 44 39.263	14.0	14.0	0.0455	0.0512	90.0	A	O	b'2018yCat.1345....0G'	5.8884430000000004e-12	1.9952631000000003e-12	4.9544985999999995e-12			7.652433e-12	7.709036e-11	1.261827e-10	2.9648322999999996e-10						Be	-2.0157745936771825	206.5576941398062	False	False
58	b'[RHI84] 10-469'	17 43 59.8057	-30 28 38.469	14.0	14.0	0.1313	0.1215	90.0	A	O	b'2018yCat.1345....0G'			1.7782794e-14			3.457006e-11	1.807174e-06	1.6557695000000002e-05	8.511377000000001e-05						Be	-0.5047150805315516	358.50174867825797	False	False
59	b'3XMM J182746.3-120605'	18 27 46.3185	-12 06 06.246	14.0	14.0	0.5249	0.4545	90.0	A	O	b'2018yCat.1345....0G'				2.5118843e-22		1.1767920000000001e-19	1.4791086000000003e-14	3.7153497000000003e-13	1.1481546999999998e-12						Be	-0.3378219907691597	19.484907385127254	False	False
60	b'ELHC  3'	05 16 29.5487	-69 17 16.640	14.0	14.0	0.04	0.0458	90.0	A	O	b'2018yCat.1345....0G'		3.4673682999999997e-16	4.786304000000001e-16			1.9138169999999998e-16	9.7723673e-17	3.6307839999999997e-16							Be	-33.58783984639233	280.06192393374357	False	False
61	b'[KW97] 27-6'	06 05 59.8050	+28 03 02.211	14.0	14.0	0.0258	0.0233	90.0	A	O	b'2018yCat.1345....0G'						4.9226584000000005e-14	2.1330473000000003e-13	2.9376526e-13	3.326598e-13						Be	3.4232826272648786	183.0194903805928	False	False
62	b'CD-46  4821'	09 00 14.0502	-46 41 08.560	14.0	14.0	0.192	0.2017	90.0	A	O	b'2018yCat.1345....0G'	1.5135623e-09	4.786304e-10	8.3176394e-10			1.0392016e-09									Be	-0.36928493357611697	267.44575775010514	False	False
63	b'TYC  748-1908-1'	06 57 28.9025	+07 59 20.038	14.0	14.0	0.0586	0.0565	90.0	A	O	b'2018yCat.1345....0G'		5.8884430000000004e-12	3.981075e-12			8.139537e-12	6.6221664000000006e-12	6.1517623e-12	7.362064999999999e-12						Be	4.968764234956216	206.48939163904163	False	False
64	b'WRAY 15-813'	11 29 12.8168	-65 39 18.163	14.0	14.0	0.0224	0.0246	90.0	A	O	b'2018yCat.1345....0G'		3.1622776e-13	3.1622776e-13			3.8770376000000003e-13									Be	-4.124168061031305	294.58773420556395	False	False
65	b'EM* AS  225'	17 20 55.5372	-38 00 00.366	14.0	14.0	0.0475	0.0354	90.0	A	O	b'2018yCat.1345....0G'		1.5135623e-15	3.6307839999999996e-14	1.0232935e-13		2.7396826999999996e-13	2.8054334e-10	6.7142834e-09	2.4774224e-07		6.3095764e-15	2.8183817e-13	1.2302693000000002e-12		Be	-0.6246174879047199	349.6002358762741	False	False
66	b'CD-32  4140'	07 33 00.2691	-32 33 11.037	14.0	14.0	0.0231	0.0322	90.0	A	O	b'2018yCat.1345....0G'	8.511386e-11	1.9498445e-11	3.0902936e-11	2.6302684000000004e-11		2.9559716e-11	1.3963698e-10	2.3227377e-10	4.886525e-10		2.570395e-11	3.8018932e-11	3.2359383000000004e-11		Be	-6.317878010759113	246.40614208337706	False	False
67	b'EC 02396-8215'	02 37 05.3	-82 02 58	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	1.3489632e-16	1.9498487e-17	1.9054638e-17												Be	-34.184006732968676	298.6664232845385	False	False
68	b'BI  81'	05 07 28.0412	-70 30 37.163	14.0	14.0	0.0254	0.0307	90.0	A	O	b'2018yCat.1345....0G'	6.4863486e-14	7.8704565e-15	7.603255e-15		9.0365015e-15	1.0032287999999999e-14	8.109618e-15	1.109175e-14	1.2852872999999999e-14						Be	-34.055053435706895	281.71086985518815	False	False
69	b'[BUG2007] A 19'	01 05 15.05	+02 10 45.0	6.0	6.0			0.0	D		b'2007ApJ...671.2028B'			6.4565344e-21		8.912525e-21										Be	-60.50412113909249	129.95379071660201	False	False
70	b'CD-40  2883'	07 03 32.9237	-40 27 26.897	14.0	14.0	0.032	0.0387	90.0	A	O	b'2018yCat.1345....0G'		2.1877622999999998e-10	1.9952633e-10			2.4215862999999997e-10	8.053787e-11	7.413101e-11	7.834296999999999e-11						Be	-15.07673437037266	251.03401221996552	False	False
71	b'EM* MWC  342'	20 23 03.6174	+39 29 49.919	14.0	14.0	0.0178	0.0239	90.0	A	O	b'2018yCat.1345....0G'	2.3988334999999998e-12	3.1622777e-12	2.5118843e-11			1.8910369e-10	1.0495421999999999e-07	1.5848925e-06	2.0941129999999997e-05						Be	1.302213210523817	77.61622070765355	False	False
72	b'LHA 120-S 166'	05 28 06.7573	-70 34 26.546	14.0	14.0	0.022000000000000002	0.0236	90.0	A	O	b'2018yCat.1345....0G'		1.5135623e-14	1.2941971999999998e-14	6.3095764e-15	1.9319694999999998e-14	1.6330531e-14	2.2594363e-14	2.7733190000000002e-14	4.0737995e-14		1.7377999e-14	1.1748966999999999e-14			Be	-32.363473851205036	281.33892243632505	False	False
73	b'EM* LkHA  133'	20 46 49.2839	+43 25 40.499	14.0	14.0	0.0142	0.0177	90.0	A	O	b'2018yCat.1345....0G'		1.5135623e-15	1.3803853999999999e-14	2.4547107999999997e-14		3.128963e-14	2.3120666e-12	4.1686927e-12	7.550927000000001e-12						Be	0.0933829355209986	83.42812997349041	False	False
74	b'[GHV2009] Star 63598'			0.0	0.0			0.0			b''			9.616117999999999e-20												Be			False	False
75	b'CD-37  4480'	08 16 12.0676	-37 47 04.218	14.0	14.0	0.025	0.0354	90.0	A	O	b'2018yCat.1345....0G'		1.1748967e-11	1.2882485e-11			1.6807384e-11	3.1188926e-11	2.6668565000000002e-11	2.8313898e-11						Be	-1.4397338585062869	255.4458267448036	False	False
76	b'HD 163453'	17 57 25.8256	-28 15 18.437	14.0	14.0	0.0491	0.0442	90.0	A	O	b'2018yCat.1345....0G'	3.4673683e-10	1.1481546999999999e-10	3.8018932000000003e-10	2.1877622999999998e-10		1.2629914e-10	9.638295e-09	1.6218102e-08	2.7101922000000002e-08						Be	-1.881294531616696	1.9095069408647856	False	False
77	b'LS III +52   19'	21 58 47.6723	+52 54 58.810	14.0	14.0	0.0253	0.023	90.0	A	O	b'2018yCat.1345....0G'	1.0232935e-12	3.3113146999999997e-13	9.120109e-13			1.5936767e-12	1.3304532000000001e-11	2.1827286999999998e-11	2.5763227e-11						Be	-1.5864324221216384	98.56200566253881	False	False
78	b'TYC 2153-262-1'	20 03 29.3552	+29 50 26.639	14.0	14.0	0.0197	0.0258	90.0	A	O	b'2018yCat.1345....0G'		6.025592400000001e-13	2.0892947e-12	3.8018933e-12		3.9138110000000004e-12	5.7676603000000005e-11	9.954058e-11	1.7538823e-10						Be	-0.6777111876457593	67.34795529092409	False	False
79	b'HBHA 3215-16'	05 29 35.7	+32 10 28	5.0	5.0			0.0	D		b'1999A&AS..134..255K'			2.5118842e-14												Be	-1.1758683164949542	175.41732429682324	False	False
80	b'HD 243265'	05 24 41.1336	+30 12 03.421	14.0	14.0	0.0563	0.0456	90.0	A	O	b'2018yCat.1345....0G'		2.1877623e-12	3.0902939e-12			3.9491205e-12	1.0568179e-11	1.12460406e-11	1.4689257e-11						Be	-3.1459876758291947	176.47430966114413	False	False
81	b'EM* MWC  846'	07 33 19.9231	-11 45 33.941	14.0	14.0	0.0307	0.0281	90.0	A	O	b'2018yCat.1345....0G'		1.862089e-12	4.2657964999999995e-12			2.5118841e-12	2.2029286e-12	2.3442281e-12	2.6424083999999997e-12						Be	3.753087896696597	228.18577299088543	False	False
82	b'EM* MWC  462'	03 40 31.8228	+50 44 53.180	14.0	14.0	0.0331	0.0226	90.0	A	O	b'2018yCat.1345....0G'		3.8904527e-13	3.7153496e-12			1.0043838e-11	5.308849e-10	1.2852873e-09	3.1695704e-09						Be	-3.6453284221695816	148.1762461553854	False	False
83	b'HD  57775'	07 22 24.8295	-10 49 21.480	14.0	14.0	0.0282	0.0266	90.0	A	O	b'2018yCat.1345....0G'		3.630784e-10	4.3651618e-10	2.2908657999999997e-10		1.8088375e-09	4.591977e-09	7.3790427e-09	1.5346165e-08						Be	1.8435353183927143	226.0865483482852	False	False
84	b'WRAY 15-934'	12 05 04.9745	-65 20 38.378	14.0	14.0	0.0279	0.0238	90.0	A	O	b'2018yCat.1345....0G'		1e-12	1e-12			6.856455e-13									Be	-2.906372250702117	298.1185049814231	False	False
85	b'[BUG2007] A 17'	01 05 11.13	+02 12 25.0	6.0	6.0			0.0	D		b'2007ApJ...671.2028B'			4.6773522e-20		7.585761e-20										Be	-60.478279721474024	129.91472738354398	False	False
86	b'HD 253339'	06 13 01.9941	+24 02 34.630	14.0	14.0	0.0451	0.0425	90.0	A	O	b'2018yCat.1345....0G'	3.9810752000000004e-11	1.7782794e-11	3.890453e-11			9.1727514e-11	1.153454e-09	2.1086300000000004e-09	4.4055493e-09						Be	2.878379825950096	187.29920877272087	False	False
87	b'[MA93]  906'	00 56 06.463	-72 28 27.96	7.0	7.0	110.0	90.0	178.0	B	N	b'2003yCat.2246....0C'		2.3442334e-18	7.4131165e-18		4.6773523e-17										Be	-44.64933844198314	302.43779291254987	False	False
88	b'EM* LkHA  193'	20 59 31.5685	+44 35 44.428	14.0	14.0	0.013000000000000001	0.0147	90.0	A	O	b'2018yCat.1345....0G'		3.1622777000000002e-15				2.4854214999999998e-14	1.0690555000000001e-12	2.2490557999999997e-12	3.8018933e-12						Be	-0.9106392502575594	85.78879329444571	False	False
