	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	s_class	s_glat	s_glon	s_nan_spectra	s_zero_spectra
3540	b'PN M  1-77'	21 19 07.3686	+46 18 47.158	14.0	14.0	0.0218	0.0229	90.0	A	O	b'2018yCat.1345....0G'		4.570880299999999e-13	1.2302693000000002e-12	8.912505600000001e-13		1.1697686000000002e-12	5.0234282e-11	2.2855999e-10	2.0137239e-09						B	-2.2663559302683285	89.38398751243683	False	False
3541	b'SDSS J204322.10+151744.3'	20 43 22.0923	+15 17 44.410	14.0	14.0	0.1115	0.0788	90.0	A	O	b'2018yCat.1345....0G'						4.246198e-18				8.472264e-18	7.27779e-18	2.7989846e-18	1.327392e-18	7.709019300000001e-19	B	-16.409738201291265	60.31142942592764	False	False
3542	b'SDSS J083139.69+162316.4'	08 31 39.6851	+16 23 16.457	14.0	14.0	0.1755	0.1264	90.0	A	O	b'2018yCat.1345....0G'						7.613764300000001e-19				8.336803000000001e-19	1.2852843999999998e-18	5.3210807e-19	2.818388e-19	1.5135623e-19	B	29.35700579525489	208.59991646613784	False	False
3543	b'BPS CS 22190-0034'	03 43 09.6212	-13 06 00.600	14.0	14.0	0.035	0.0298	90.0	A	O	b'2018yCat.1345....0G'	4.570880299999999e-13	4.0737995e-14	2.2908657999999996e-14	3.1622776e-14		2.366463e-14	6.8706828e-15	5.321080500000001e-15	4.8305882000000006e-15						B	-47.56326055685285	202.3899893851152	False	False
3544	b'2MASS J22111628-0924331'	22 11 16.2859	-09 24 33.245	14.0	14.0	0.1013	0.0956	90.0	A	O	b'2018yCat.1345....0G'						4.840612e-16	6.0953666e-16	7.227701400000001e-16	6.0953666e-16	6.20868e-17	7.177942e-16	3.9719154e-16	2.660726e-16	2.1037782000000003e-16	B	-48.308263083697426	50.331532583209565	False	False
3545	b'EC 19269-6231'	19 31 26.4	-62 25 17	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	2.5118842e-14	2.8840318e-15	1.7782794e-15												B	-28.406622778522326	334.1530774456208	False	False
3546	b'SDSS J023726.24+010446.7'	02 37 26.2401	+01 04 46.796	14.0	14.0	0.4075	0.6573	90.0	A	O	b'2018yCat.1345....0G'						7.582297e-20				1.0232935e-20	1.0914406e-19	6.2805885e-20	3.9719239999999996e-20	3.0199485e-20	B	-51.97560731602457	169.3357993527965	False	False
3547	b'SDSS J154806.92+093423.9'	15 48 06.9289	+09 34 23.901	14.0	14.0	0.2722	0.2423	90.0	A	O	b'2018yCat.1345....0G'						5.960724999999999e-20				1.33352145e-20	9.162203e-20	4.9431095e-20	2.9922635e-20	1.4927936000000002e-20	B	44.855192018526104	18.681494581447843	False	False
3548	b'Ton  158'	13 23 23.5716	+26 16 32.311	14.0	14.0	0.0665	0.0608	90.0	A	O	b'2018yCat.1345....0G'		7.9432754e-16				6.412084e-17	2.4660404999999998e-17	8.128303e-18	6.7608284000000006e-18	2.7101889999999997e-16	1.2302691999999999e-16	3.801893e-17	1.6218067e-17	7.24437e-18	B	82.81373970917707	27.92749911780479	False	False
3549	b'CPD-27  6106'	18 05 49.9637	-27 50 01.315	14.0	14.0	0.0586	0.0564	90.0	A	O	b'2018yCat.1345....0G'		8.709628e-12	1.4454392499999998e-11			1.0230576e-11	3.6391494e-11	3.8994162e-11	4.3651616999999996e-11						B	-3.2862122806522587	3.191763337742839	False	False
