	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_class	s_glat	s_glon	join
483	b'SDSS J104610.16+095043.8'	10 46 10.1604	+09 50 43.790	14.0	14.0	0.555400013923645	0.3711000084877014	90.0	A	O	b'2018yCat.1345....0G'	B	55.80113208538473	237.26905936406843	-1.0
484	b'HD 112147'	12 55 08.4591	-59 01 07.418	14.0	14.0	0.02390000037848949	0.028999999165534977	90.0	A	O	b'2018yCat.1345....0G'	B	3.849586273067863	303.40953420641256	-1.0
485	b'LS  IV -07   28'	18 53 25.7350	-07 12 48.987	14.0	14.0	0.04259999841451645	0.03869999945163727	90.0	A	O	b'2018yCat.1345....0G'	B	-3.722704877792145	26.728841268742713	-1.0
486	b'PG 1554+408'	15 55 50.3924	+40 38 53.901	14.0	14.0	0.04190000146627426	0.053500000387430184	90.0	A	O	b'2018yCat.1345....0G'	B	49.929451157037256	64.79925098931115	-1.0
487	b'PG 1206+165'	12 09 16.6881	+16 11 55.044	14.0	14.0	0.07620000094175339	0.048099998384714134	90.0	A	O	b'2018yCat.1345....0G'	B	75.33910455919981	258.9814319661001	-1.0
488	b'PG 1658+337'	17 00 40.6572	+33 37 48.056	14.0	14.0	0.03810000047087669	0.04720000177621842	90.0	A	O	b'2018yCat.1345....0G'	B	36.64716925061407	56.1632810514436	-1.0
489	b'EM* AS  469'	21 36 17.3626	+55 20 26.382	14.0	14.0	0.025399999693036083	0.025100000202655792	90.0	A	O	b'2018yCat.1345....0G'	B	2.384123275742076	97.579697648945	-1.0
490	b'GSC 03628-01958'	22 38 19.4069	+50 19 34.487	14.0	14.0	0.016499999910593033	0.01679999940097332	90.0	A	O	b'2018yCat.1345....0G'	B	-7.12531793496996	102.25906052478449	-1.0
491	b'EC 20287-5534'	20 32 38.2	-55 24 29	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	B	-36.24948365527805	342.46038820024626	-1.0
492	b'EC 20465-4204'	20 49 50.9	-41 53 29	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	B	-39.17870639841095	359.54385773124	-1.0
493	b'SDSS J002810.33+215809.6'	00 28 10.3299	+21 58 09.686	14.0	14.0	0.10620000213384627	0.06689999997615814	90.0	A	O	b'2018yCat.1345....0G'	B	-40.58105478478994	115.82363641435069	-1.0
494	b'SDSS J113637.13+033106.8'	11 36 37.1364	+03 31 06.909	14.0	14.0	0.711899995803833	0.5454999804496765	90.0	A	O	b'2018yCat.1345....0G'	B	60.38643178185073	262.55934382978853	-1.0
495	b'EC 19470-5655'	19 51 07.5	-56 47 58	5.0	5.0			0.0	D	O	b'2013MNRAS.431..240O'	B	-30.466635783931576	340.80150314190223	-1.0
496	b'Ton  414'	09 24 40.0704	+30 50 12.593	14.0	14.0	0.06179999932646753	0.04270000010728836	90.0	A	O	b'2018yCat.1345....0G'	B	45.026231036202795	195.34923575174489	-1.0
497	b'2MASS J14592506+2333488'	14 59 25.0500	+23 33 48.831	14.0	14.0	0.0348999984562397	0.04179999977350235	90.0	A	O	b'2018yCat.1345....0G'	B	60.94390840069043	33.087068817633146	-1.0
498	b'Cl* Lynga    6      L       6'	16 04 56.2392	-51 57 59.839	14.0	14.0	0.02759999968111515	0.015399999916553497	90.0	A	O	b'2018yCat.1345....0G'	B	0.2910972413255654	330.35517708285334	-1.0
499	b'LS   I +62  103'	00 26 05.9340	+63 16 09.731	14.0	14.0	0.020800000056624413	0.021900000050663948	90.0	A	O	b'2018yCat.1345....0G'	B	0.5376708563266988	120.087082956833	-1.0
500	b'HD 311043'	12 04 31.8250	-64 22 51.210	14.0	14.0	0.03830000013113022	0.03680000081658363	90.0	A	O	b'2018yCat.1345....0G'	B	-1.9695626975487528	297.88721911875894	-1.0
501	b'LS   I +57  122'	03 02 25.4197	+57 16 52.658	14.0	14.0	0.02280000038444996	0.020999999716877937	90.0	A	O	b'2018yCat.1345....0G'	B	-1.2012808367939352	139.93606753152932	-1.0
502	b'PG 1027-077'	10 30 22.7531	-07 59 00.952	14.0	14.0	0.07500000298023224	0.06499999761581421	90.0	A	O	b'2018yCat.1345....0G'	B	41.017938112444334	253.66184221584354	-1.0
503	b'SDSS J105134.98+542752.1'	10 51 34.9781	+54 27 52.160	14.0	14.0	0.2213000059127808	0.3041999936103821	90.0	A	O	b'2018yCat.1345....0G'	B	55.003778066949074	153.33926476764944	-1.0
504	b'HD 253702'	06 14 23.4753	+22 24 23.808	14.0	14.0	0.04010000079870224	0.03970000147819519	90.0	A	O	b'2018yCat.1345....0G'	B	2.3719753264239976	188.8878566246475	-1.0
