gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,s_FLUX_U,s_FLUX_B,s_FLUX_V,s_FLUX_R,s_FLUX_I,s_FLUX_G,s_FLUX_J,s_FLUX_H,s_FLUX_K,s_FLUX_u,s_FLUX_g,s_FLUX_r,s_FLUX_i,s_FLUX_z,tev_0.3TeV,tev_1TeV,tev_3TeV,tev_10TeV,tev_30TeV,s_MAIN_ID,s_class,s_nan_spectra,gev_1FGL_Name,gev_CLASS1,tev_fermi_names,tev_classes,marked
0.013536649165508107,0.34308067217824867,0.020825576290067663,0.1430050181019203,0.3304191317776119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2836675257911266e-06,0.0003659758922510045,0.09192910892158651,0.0,0.0,0.0,0.0,0.0,0.02217065926019786,0.017988603422764295,0.012134644911404754,0.004136093029842333,0.0004065833810708412,b'SSTGC 519103',Be,False,b'                  ',b'     ',b'',b'unid',0
0.01333478161972772,0.013324879112405602,0.0008049650284950687,0.014451318808448904,0.004808333130829612,0.0,0.0,0.00439636426656162,0.019637820580707368,0.0,0.0,0.02062022823053225,0.21781779841239104,0.3112383448406598,0.34681189303621046,0.0,0.0,0.0,0.0,0.0,0.005774653889413595,0.012273085542841603,0.0076546740489071554,0.004429055608576299,0.0026218038432920393,b'LS  IV -05   11',B,False,b'                  ',b'PWN  ',b'',b'unid',0
0.0016817889030472843,0.04262423146708805,0.0025873628455588163,0.017766897079426386,0.04105116579323327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.466542277647529e-07,0.0006572242638261622,0.8865694242261098,0.0,0.0,0.0,0.0,0.0,0.002754475517622954,0.0022348982564170507,0.0015076043491191189,0.0005138668568942673,5.0513787429070864e-05,b'GCIRS  1W',B,False,b'                  ',b'     ',b'',b'unid',0
0.011398620496783963,0.1291449831019361,0.001246213150507908,0.07080158964745296,0.08203253139996035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0330595070022905e-05,0.012391527873381462,0.6841092110765452,0.0,0.0,0.0,0.0,0.0,0.00574404425689142,0.0003224132944257779,0.0009688044589979629,0.0007192258889967549,0.0011105047590500954,b'[MCD2010] 18',O,False,b'1FGL J1746.4-2849c',b'pwn  ',b'',b'unid',0
0.012808978284450838,0.32463816015438807,0.019706084659440765,0.13531769561571852,0.31265724862624583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.347274056466197e-05,0.1410770613581696,0.0,0.0,0.0,0.0,0.0,0.020978861869260373,0.017021615009192498,0.011482339629201073,0.003913754811398358,0.00038472724196952495,b'GCIRS  8',O,False,b'                  ',b'     ',b'',b'unid',0
0.005245201841527037,0.05942749856277559,0.0005734588245852693,0.032580137965523184,0.0377481805702362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1290300268427505e-05,0.02291051544256438,0.8414637164925199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[MCD2010] 13',O,False,b'1FGL J1746.4-2849c',b'pwn  ',b'',b'unid',0
0.005223891889542743,0.05918605940005486,0.0005711290038488905,0.03244777295905379,0.03759481909059254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.108192052080238e-05,0.022817435710121833,0.8380450584624295,0.0,0.0,0.0,0.0,0.0,0.0026324471645683533,0.00014775930072474794,0.00044399493406594305,0.0003296151748660613,0.0005089349896101168,b'[MCD2010] 13',O,False,b'1FGL J1746.4-2849c',b'pwn  ',b'',b'unid',0
2.845685921224654e-12,4.600288891312707e-11,1.4188471551970593e-11,3.2248346294805826e-11,3.170300127667082e-11,0.0,7.585777735200672e-14,8.317639156842371e-14,1.1220189450002535e-12,0.0,0.0,4.354114067657475e-12,3.0130066537836854e-10,5.649367852040552e-10,8.491802795351807e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[MT91] 213',B0Ve,False,b'1FGL J2032.2+4127 ',b'PSR  ',b'',b'unid',1
0.0007519405811933532,0.012155747325419334,0.0037491444384145957,0.008521263739817504,0.008377162436567965,0.0,0.00010764558303793307,0.0002582238362229826,0.001324330456573525,0.002355029583012155,0.0,0.0027822519791845185,0.17021450765486984,0.3365085474235495,0.45289420496213684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'Schulte 21',B0Ve,False,b'1FGL J2032.2+4127 ',b'PSR  ',b'',b'unid',0
5.929002388733048e-12,8.84073559458956e-11,1.3538363198327658e-10,4.055951321932925e-11,1.3179176914134805e-10,0.0,5.37031218913114e-12,2.4547108040775616e-12,1.7782793722748817e-11,6.45654839156803e-11,2.8183816336261963e-10,4.0429645593237875e-11,2.393314107902446e-09,5.915620476915483e-09,1.2105986182494262e-08,0.0,0.0,0.0,0.0,0.0,4.367614163875596e-12,9.292763005091508e-13,8.533807068548911e-13,2.9103444805916884e-13,4.0656589921620917e-13,b'LS   I +61  303',B0Ve,False,b'1FGL J0240.5+6113 ',b'HMB  ',b'',b'bin',1
