gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,s_FLUX_U,s_FLUX_B,s_FLUX_V,s_FLUX_R,s_FLUX_I,s_FLUX_G,s_FLUX_J,s_FLUX_H,s_FLUX_K,s_FLUX_u,s_FLUX_g,s_FLUX_r,s_FLUX_i,s_FLUX_z,tev_0.3TeV,tev_1TeV,tev_3TeV,tev_10TeV,tev_30TeV,s_MAIN_ID,s_class,gev_1FGL_Name,gev_CLASS1,tev_fermi_names,tev_classes,marked
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095549.1+694036',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095546.5+694040',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095552.7+694045',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095622.7+694134',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095551.4+694035',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095553.0+694048',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095614.7+694249',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095550.5+694056',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095544.8+694100',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095550.2+694039',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[RVZ2004] 40.49+57.4',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095615.1+693951',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[SST2011] J095554.56+694100.4',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095550.9+694044',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
