gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,s_FLUX_U,s_FLUX_B,s_FLUX_V,s_FLUX_R,s_FLUX_I,s_FLUX_G,s_FLUX_J,s_FLUX_H,s_FLUX_K,s_FLUX_u,s_FLUX_g,s_FLUX_r,s_FLUX_i,s_FLUX_z,tev_0.3TeV,tev_1TeV,tev_3TeV,tev_10TeV,tev_30TeV,s_MAIN_ID,s_class,gev_1FGL_Name,gev_CLASS1,tev_fermi_names,tev_classes,marked
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095632.1+694127',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'NAME M82 ULX-1',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[CHP2004] J095630.9+694220',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095550.6+694043',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095608.0+694139',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095624.6+694256',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,2.3388344447364653e-24,9.311075810404473e-24,1.7741917249711905e-23,0.0,2.322732634323879e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOM82 J095538.3+694030',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095531.8+693957',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
2.0984198753626337e-11,2.096861573264164e-11,1.2667283671649596e-12,2.2741230773504213e-11,7.566604461051174e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2589265175925679e-09,0.0,0.0,0.0,0.0,0.0,9.087247699559194e-12,1.9313466177633476e-11,1.204573173404641e-11,6.969756671311397e-12,4.125785840202669e-12,b'[KRL2007b] 332',B0Ve,b'                  ',b'PWN  ',b'',b'unid',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095553.3+694101',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095546.1+694026',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[CHP2004] J095619.6+694146',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
2.661957026334205e-12,4.101590594940419e-11,1.0838682729108485e-10,1.2089620103628018e-11,7.131453066966387e-11,0.0,9.549915794217655e-13,5.888442760205689e-13,5.370312303176601e-12,9.120109194638907e-12,0.0,1.58927675563349e-11,9.462367956629308e-10,1.7741878289990028e-09,2.951211041237279e-09,0.0,1.6982418624462762e-12,1.2589265175925678e-11,4.1686927362111875e-11,0.0,4.163949078699131e-11,3.323341493962894e-11,2.3752148448638635e-11,1.23278256457491e-11,3.949047329572909e-12,b'V* V479 Sct',B0Ve,b'1FGL J1826.2-1450 ',b'HMB  ',b'',b'bin',1
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095510.7+693955',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095547.4+694059',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095553.9+694045',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOM82 J095550.5+694022',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095615.2+694142',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095553.2+694052',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
8.837787814942878e-13,2.1943378104155586e-12,1.8343391042230373e-12,9.154530432320396e-13,1.7493463275175538e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'CXOU J095550.1+694034',B0Ve,b'1FGL J0956.5+6938 ',b'sbg  ',"b'1FGL J0956.5+6938,2FGL J0955.9+6936,3FGL J0955.4+6940'",b'galaxy',0
