gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	tev_0.3TeV	tev_1TeV	tev_3TeV	tev_10TeV	tev_30TeV	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	gev_1FGL_Name	gev_CLASS1	tev_fermi_names	tev_classes	marked
0.013311136512510846	0.33736514896204983	0.020478634376899323	0.14062263819166465	0.3249145424145305	0.0	0.15139797952732442	0.011055577385796102	0.0008286450575542394	2.5419925878407616e-05	2.7764579158916815e-07	0.0	0.0	0.0	0.0	0.0	b'                  '	b'     '	b''	b'unid'	0
0.14028077819487783	0.14017660465287005	0.008468164221744184	0.15202665526913076	0.05058325907753141	0.0	0.4218671664834705	0.08069489062043594	0.005592119827799656	0.0002912080720356024	1.9153580104129898e-05	0.0	0.0	0.0	0.0	0.0	b'                  '	b'PWN  '	b''	b'unid'	0
0.013311136512510846	0.33736514896204983	0.020478634376899323	0.14062263819166465	0.3249145424145305	0.0	0.15139797952732442	0.011055577385796102	0.0008286450575542394	2.5419925878407616e-05	2.7764579158916815e-07	0.0	0.0	0.0	0.0	0.0	b'                  '	b'     '	b''	b'unid'	0
0.03404736186845558	0.3857524666610134	0.003722403962176145	0.21148237580756943	0.24502888593825164	0.0	0.11914791785670757	0.0006018997051886972	0.00020095777284691503	1.3426923083994692e-05	2.3035047066714256e-06	0.0	0.0	0.0	0.0	0.0	b'1FGL J1746.4-2849c'	b'pwn  '	b''	b'unid'	0
0.013311136512510846	0.33736514896204983	0.020478634376899323	0.14062263819166465	0.3249145424145305	0.0	0.15139797952732442	0.011055577385796102	0.0008286450575542394	2.5419925878407616e-05	2.7764579158916815e-07	0.0	0.0	0.0	0.0	0.0	b'                  '	b'     '	b''	b'unid'	0
0.03868871138587405	0.43833839187593787	0.004229843507719605	0.24031173494233332	0.27843131828813505	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'1FGL J1746.4-2849c'	b'pwn  '	b''	b'unid'	0
0.03404736186845558	0.3857524666610134	0.003722403962176145	0.21148237580756943	0.24502888593825164	0.0	0.11914791785670757	0.0006018997051886972	0.00020095777284691503	1.3426923083994692e-05	2.3035047066714256e-06	0.0	0.0	0.0	0.0	0.0	b'1FGL J1746.4-2849c'	b'pwn  '	b''	b'unid'	0
0.02240902363227255	0.362260577359651	0.11173045905821703	0.25394719383192343	0.24965274611793595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'1FGL J2032.2+4127 '	b'PSR  '	b''	b'unid'	1
0.02240902363227255	0.362260577359651	0.11173045905821703	0.25394719383192343	0.24965274611793595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'1FGL J2032.2+4127 '	b'PSR  '	b''	b'unid'	0
0.013691452097362672	0.20415324528927586	0.31263244480866176	0.09366139460325955	0.3043379941041023	0.0	0.0700405680319918	0.0013411975910371289	0.00013685107523925898	4.2004159627434075e-06	6.519831069114536e-07	0.0	0.0	0.0	0.0	0.0	b'1FGL J0240.5+6113 '	b'HMB  '	b''	b'bin'	1
