gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,tev_0.3TeV,tev_1TeV,tev_3TeV,tev_10TeV,tev_30TeV,s_class,s_MAIN_ID,s_simbad,gev_1FGL_Name,gev_CLASS1,tev_fermi_names,tev_classes,marked
0.05515514011416846,0.2014770842686752,4.369500863902765e-06,0.23506648834424118,0.028249198126955956,0.0,0.39161867023699265,0.07284050688971712,0.013192835898813898,0.0020283355135644536,0.00036737110600708757,[],[],0,b'                  ',b'bll  ',b'',b'hbl',0
0.06911902241428342,0.07317161139416903,0.0034065599028073137,0.038324607750380275,0.14561532752120682,0.0,0.13407142889211676,0.02042935051313342,0.006451667217288966,0.05937939757249871,0.4500310268221154,[],[],0,b'                  ',b'snr  ',b'',b'snr',0
0.35818990642305176,0.17817878277840135,0.09673682307184085,0.26890776267786665,0.0979867250488394,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0033.5-1921 ',b'bll  ',b'',b'hbl',0
0.26900503152505384,0.15746231422591359,0.13972442531018417,0.22056105922235503,0.21324716971649335,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0035.9+5951 ',b'bll  ',b'',b'hbl',0
0.42772531889205156,0.1472365191880742,0.10414751993308131,0.2310656997159631,0.08982494227082985,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0136.5+3905 ',b'bll  ',b'',b'hbl',0
0.18480319669057957,0.13929442287802596,0.09296665392652641,0.07216213978891604,0.06466378075532371,0.0,0.2709070518469461,0.07249193692498167,0.04900783578339916,0.03200620822627817,0.02169677317902322,[],[],0,b'                  ',b'bll  ',b'',b'hbl',0
0.006631102571353926,0.23567572978735563,0.3527876089545942,0.08705421031855798,0.31785134836813833,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0205.6+6449 ',b'PSR  ',b'',b'pwn',0
0.08001305889356027,0.16735945473610425,0.36396202431048746,0.1393245781972536,0.2493408838625945,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0221.0+3555 ',b'FSRQ ',b'',b'blazar',0
0.19321475263974364,0.2107471554636762,0.1453232188880793,0.23005734087885618,0.19286507187024585,0.0,0.021035878028874206,0.005001266634838375,0.0013483281805302361,0.00032056416817221353,8.64232469838705e-05,[],[],0,b'1FGL J0222.6+4302 ',b'BLL  ',b'',b'ibl',0
0.19873817548390552,0.2167717764459084,0.14947756826372033,0.23663398140302302,0.19837849840344274,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0222.6+4302 ',b'BLL  ',b'',b'unid',0
0.07237956596324313,0.057871450584243096,0.05445412962699702,0.030538943954785278,0.11724519076004525,0.0,0.42574240235728583,0.09058316732845127,0.08318508426563216,0.028369196645220533,0.039630868514096446,[],[],0,b'                  ',b'bll  ',b'',b'hbl',0
0.014499204727561719,0.21619764493902877,0.33107677619031256,0.09918712242970879,0.32229297897049525,0.0,0.010680874754473277,0.0022725184518659833,0.0020869179615703314,0.0007117163678668253,0.0009942452071166567,['B0Ve'],"[""b'LS   I +61  303'"" ""b'LS   I +61  303'""]",1,b'1FGL J0240.5+6113 ',b'HMB  ',b'',b'bin',1
0.21926551714349607,0.20016656477840228,0.14162903233849974,0.22314911133736903,0.18371617651801886,0.0,0.031530678103509055,0.0005329611274852266,9.832676934708068e-06,1.2369423227031753e-07,2.2820527837360667e-09,[],[],0,b'1FGL J0303.5-2406 ',b'BLL  ',b'',b'hbl',0
0.2026545514824332,0.4562155786635039,0.00034854631685873243,0.34060489753909606,0.00017642599810815235,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'                  ',b'rdg  ',b'',b'hbl',0
0.09089666821757972,0.23216744172513182,0.2401162391938707,0.19309520770702038,0.2437244431563974,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0319.7+4130 ',b'RDG  ',b'',b'fri',0
0.36911581715525493,0.11374415394391822,0.00013495599134039887,0.18455983446549062,0.019481779624328368,0.0,0.24767647151301467,0.05429539053916224,0.009384113389994411,0.0013705970112998836,0.00023688636619619694,[],[],0,b'1FGL J0319.7+1847 ',b'bll  ',b'',b'hbl',0
0.0509677138824532,0.011492419107931983,0.006981028591238221,0.04127484273799117,0.004465251549288676,0.0,0.12051905347955481,0.031012665716350096,0.028665708807176626,0.13662423624854694,0.5679970798794682,[],[],0,b'                  ',b'bll  ',b'',b'hbl',0
0.24522547992485613,0.09159411757895267,0.004979111926259934,0.15043216950159644,0.12309508907869321,0.0,0.3298138347615974,0.043651603714829824,0.009191049876695166,0.0016666274176820525,0.0003509162188370933,[],[],0,b'1FGL J0416.8+0107 ',b'bll  ',b'',b'hbl',0
0.2521020689552838,0.1872927778652288,0.13086550876202305,0.23922258450580414,0.1451815633993366,0.0,0.04199812709331941,0.002933579728351566,0.0003608557570646824,3.804907842486915e-05,4.884855162830919e-06,[],[],0,b'1FGL J0449.5-4350 ',b'bll  ',b'',b'hbl',0
0.5711049812282009,0.09498108066859691,0.035517053061010856,0.20287211438222985,0.09552477065996154,0.0,0.0,0.0,0.0,0.0,0.0,[],[],0,b'1FGL J0507.9+6738 ',b'bll  ',b'',b'hbl',0
0.205418612617251,0.17135936627966264,0.13203138763309194,0.19874105628096744,0.14777013701045716,0.0,0.12004291587152269,0.01847348512540365,0.004789341966223225,0.0010908809568124064,0.0002828162586079047,[],[],0,b'1FGL J0521.7+2114 ',b'bll  ',b'',b'ibl',0
