gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	tev_0.3TeV	tev_1TeV	tev_3TeV	tev_10TeV	tev_30TeV	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	gev_1FGL_Name	gev_CLASS1	gev_GLON	gev_GLAT	tev_fermi_names	tev_classes	tev_glat	tev_glon	marked
0.09694993295285426	0.08514736162668364	0.09537708758318716	0.08834242936523458	0.08528465817697291	-0.0	0.08807285777219882	0.09762782682765221	0.10708757928534796	0.119809121457135	0.13630114495273335	-0.0	-0.0	-0.0	-0.0	-0.0	b'                  '	b'     '	359.86395263671875	-0.02007133699953556	b''	b'unid'	-0.04616236314177513	359.9442443847656	0
0.0919594108031978	0.09196218927995208	0.10245918620509958	0.09165866768336835	0.09577443363783648	-0.0	0.08784136589806497	0.09402759077575719	0.10401117123525808	0.11506352571072005	0.12524245877074544	-0.0	-0.0	-0.0	-0.0	-0.0	b'                  '	b'PWN  '	26.79593276977539	-0.19858986139297485	b''	b'unid'	-0.19760440289974213	26.79511260986328	0
0.09694993295285426	0.08514736162668364	0.09537708758318716	0.08834242936523458	0.08528465817697291	-0.0	0.08807285777219882	0.09762782682765221	0.10708757928534796	0.119809121457135	0.13630114495273335	-0.0	-0.0	-0.0	-0.0	-0.0	b'                  '	b'     '	359.86395263671875	-0.02007133699953556	b''	b'unid'	-0.04616236314177513	359.9442443847656	0
0.09243676526757041	0.08383370854474304	0.1002811742687076	0.08596389361507335	0.08544208277812909	-0.0	0.08799740223019346	0.1067386115251909	0.11062645472273556	0.12021614680720459	0.12646376024045192	-0.0	-0.0	-0.0	-0.0	-0.0	b'1FGL J1746.4-2849c'	b'pwn  '	0.1492011696100235	-0.10315696895122528	b''	b'unid'	-0.113205648958683	0.14061740040779114	0
0.09694993295285426	0.08514736162668364	0.09537708758318716	0.08834242936523458	0.08528465817697291	-0.0	0.08807285777219882	0.09762782682765221	0.10708757928534796	0.119809121457135	0.13630114495273335	-0.0	-0.0	-0.0	-0.0	-0.0	b'                  '	b'     '	359.86395263671875	-0.02007133699953556	b''	b'unid'	-0.04616236314177513	359.9442443847656	0
0.2063515837598818	0.18714651557307518	0.22386308166181912	0.19190184276017364	0.1907369762450502	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	b'1FGL J1746.4-2849c'	b'pwn  '	0.1492011696100235	-0.10315696895122528	b''	b'unid'	-0.14797726273536682	0.054990474134683616	0
0.09243676526757041	0.08383370854474304	0.1002811742687076	0.08596389361507335	0.08544208277812909	-0.0	0.08799740223019346	0.1067386115251909	0.11062645472273556	0.12021614680720459	0.12646376024045192	-0.0	-0.0	-0.0	-0.0	-0.0	b'1FGL J1746.4-2849c'	b'pwn  '	0.1492011696100235	-0.10315696895122528	b''	b'unid'	-0.113205648958683	0.14061740040779114	0
0.2149198434249978	0.1924223612362845	0.20193158267218006	0.19529416677704103	0.19543204588949667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	b'1FGL J2032.2+4127 '	b'PSR  '	80.21859741210938	1.018826603889465	b''	b'unid'	1.1111170053482056	80.29947662353516	1
0.2149198434249978	0.1924223612362845	0.20193158267218006	0.19529416677704103	0.19543204588949667	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	-0.0	b'1FGL J2032.2+4127 '	b'PSR  '	80.21859741210938	1.018826603889465	b''	b'unid'	1.1111170053482056	80.29947662353516	0
0.09539345675189896	0.08542243289587728	0.08384986869327773	0.08829770498179804	0.08394909296068803	-0.0	0.08937009120313641	0.10396633591137337	0.11238871851549664	0.12524396554805237	0.13211833253840116	-0.0	-0.0	-0.0	-0.0	-0.0	b'1FGL J0240.5+6113 '	b'HMB  '	135.67884826660156	1.0862773656845093	b''	b'bin'	1.0861347913742063	135.67527770996094	1
