gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	s_MAIN_ID	s_class	s_nan_spectra	gev_1FGL_Name	gev_CLASS1	gev_GLON	gev_GLAT	marked
0.0165659390487419	0.3181169298451206	0.11671337385911923	0.1949825359963563	0.35362122125066203	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'[KRL2007b] 194'	Be	True	b'1FGL J1636.4-4737c'	b'snr  '	337.0302429199219	-0.15647166967391968	0
4.368131783429968e-06	8.042762542744896e-05	1.745033510092313e-05	3.972281398890165e-05	7.974059707964462e-05	0.0	8.700478913933063e-05	3.627010355723628e-05	8.119787389813661e-05	0.0001022220509425295	0.0	0.00017035159154218146	0.0067382214597178835	0.08119804417089639	0.9110573672933702	0.0	4.360641972349775e-05	0.00012289855280677348	0.00014110619102540985	0.0	0.0	0.0	0.0	0.0	0.0	b'HD 328990'	Be	False	b'1FGL J1651.5-4602c'	b'     '	339.7976989746094	-0.9521964192390442	0
0.014351699932249318	0.08726818997581223	0.09648024783749515	0.05887298910256099	0.0826402180747431	0.0	4.189112496736614e-05	2.2940377958319604e-05	0.00017853598497996254	0.0008178743446008874	0.004192104719946633	0.0006243772435611787	0.057073665544462096	0.1604848997471136	0.4369503659895491	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'UCAC2   5051621'	Be	False	b'                  '	b'spp  '	291.0348815917969	-0.08761725574731828	0
0.05414652412564827	0.12370462998605233	0.4429593054798609	0.12131088038327915	0.18879379064943388	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.657548313685947e-07	0.00027414022962994605	0.06880996339126408	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'SSTGC 519103'	Be	False	b'1FGL J1745.6-2900c'	b'spp  '	359.9555969238281	-0.03929706662893295	0
0.046426002274247244	0.2322150973461279	0.2710143021788665	0.14526496546303336	0.3043602694902228	0.0	0.0	3.094035473127501e-05	2.320526604845626e-05	0.0	4.641053209691251e-05	8.50859755110062e-05	0.00011602633024228116	0.0001314965076079186	0.0002861982812642928	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LIN 341'	Be	False	b'1FGL J0101.3-7257 '	b'GAL  '	302.1451416015625	-44.41674041748047	0
0.0015235399702681921	0.006399925277068294	0.01623111986829849	0.0040163650575362865	0.008841642603618824	0.0	0.15087539663640925	0.034563826103829416	0.05231408010079438	0.0	0.0	0.06346262128272363	0.1979791286474517	0.20874612396020858	0.2550462304917929	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS  VI -04   15'	B	False	b'                  '	b'     '	217.95790100097656	-0.3959685266017914	0
0.00015713036876679865	0.0026201688395866983	0.00895483578751537	0.0010903411883459793	0.0038811998701444137	0.0	0.0	0.00698751571359859	0.015287109887166387	0.0	0.0	0.03154451974172303	0.24735670029749343	0.324581490837572	0.35753898746808727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS   I +56   58'	B	False	b'                  '	b'     '	136.88327026367188	-3.2338104248046875	0
0.0	0.1312941530137167	0.413046745828899	0.07425221704497025	0.37050954456633917	0.0	0.0	0.00022546219750499506	0.00045092439500998995	0.00030061626333999334	0.0	0.0005260784608449882	0.0016533894483699602	0.0022546219750499436	0.0034570870284099074	0.00022546219750499506	0.0005260784608449882	0.00045092439500998995	0.00045092439500998995	0.00037577032917499167	0.0	0.0	0.0	0.0	0.0	b'PG 1101+529'	B	False	b'                  '	b'     '	153.78758239746094	57.50102996826172	0
0.0	0.24020488615949998	0.3359972109736722	0.08313443642904256	0.3247338357155708	0.0	0.0	0.0	0.01592963072221452	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'GALEX J175340.5-500741'	B	False	b'1FGL J1754.0-5002 '	b'bcu  '	342.2788391113281	-11.987717628479006	0
0.019413087678152637	0.11804490279979003	0.13050576024589727	0.07963561840885112	0.11178479251936274	0.0	0.002011600092304332	0.0020588207517480872	0.007649746829886163	0.014574993827727183	0.029759808743090296	0.009384768774017735	0.09454250601418693	0.1826522090491595	0.19798138426582595	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'HD 306182'	B	False	b'                  '	b'spp  '	291.0348815917969	-0.08761725574731828	0
0.06950689448451777	0.3590002997598119	0.15647482014400096	0.1570868305356872	0.23860911270983493	0.0	0.0	0.00016237010391721254	0.0014738209432485275	0.0016611710631529986	0.0	0.002173261390891883	0.0	0.0	0.0	0.0	0.000462130295764373	0.0033847921662741036	0.010004496402898144	0.0	0.0	0.0	0.0	0.0	0.0	b'GSC 05698-00468'	B	False	b'                  '	b'spp  '	18.852577209472656	-1.2179760932922363	0
0.002327603487766247	0.029625553333248508	0.013587688599442758	0.023664181591980023	0.03519239436813918	0.0	0.0	0.005366383685726249	0.004674358951569112	0.0	0.0	0.013075692440039416	0.1569210772625353	0.2283924214371662	0.48717264484238704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'EM* GGA  394'	B	False	b'                  '	b'spp  '	204.67648315429688	-1.3048923015594482	0
0.47635726795088945	0.058012259194411435	0.26992119089318456	0.0714754816112267	0.12423380035028783	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'MAC 1-490'	B	False	b'                  '	b'bcu  '	120.66645050048828	-22.005041122436523	0
0.0	0.0018896327495448477	0.0002398119058330235	0.0010841159003115559	0.0016145782156606289	0.0	0.0001406160604937608	0.00013124840792215898	0.0013122815353788055	0.0	0.0	0.003366835606130541	0.17865652780236416	0.337301977343692	0.4742623744726685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS  IV -03    6'	B	False	b'1FGL J1842.9-0359c'	b'     '	28.42618179321289	0.04435489699244498	0
