gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	tev_0.3TeV	tev_1TeV	tev_3TeV	tev_10TeV	tev_30TeV	s_MAIN_ID	s_simbad	s_class	gev_1FGL_Name	gev_CLASS1	gev_GLON	gev_GLAT	gev_RAJ2000	gev_DEJ2000	tev_fermi_names	tev_classes	tev_glat	tev_glon	tev_pos_dec	tev_pos_ra	marked
0.0952070753541265	0.09103237560777987	0.12563700823438304	0.09053550514931424	0.09736313326297334	-inf	0.08889072367511722	0.0943108542372791	0.0998166402303855	0.10585044912776746	0.11135623512087388	[]	0	[]	b'                  '	b'bll  '	74.62692260742188	-78.07839965820312	3.476099967956543	-18.8966007232666	b''	b'hbl'	-78.0869369506836	74.63201141357422	-18.90184622190011	3.483564191574319	0
0.09857068302438406	0.0983672869087872	0.10931611220541185	0.10067590503587634	0.09591071815863385	-inf	0.09620555932294883	0.10292171173441832	0.10703633883174676	0.09911287865980956	0.09188280611798323	[]	0	[]	b'                  '	b'snr  '	120.12599182128906	1.3377548456192017	6.432600021362305	64.06929779052734	b''	b'snr'	1.4129304885864258	120.09236145019531	64.14080215316578	6.3397230531816575	0
0.19452314867588902	0.19984914337214968	0.2045078780082982	0.19670987097333517	0.20440995897032793	-inf	-inf	-inf	-inf	-inf	-inf	[]	0	[]	b'1FGL J0033.5-1921 '	b'bll  '	94.21208190917969	-81.22408294677734	8.402199745178223	-19.363800048828125	b''	b'hbl'	-81.21610260009766	94.17464447021484	-19.359206924141734	8.393293004159592	0
0.19752499299872953	0.20161234302796183	0.20252449193168348	0.199040397889612	0.19929777415201314	-inf	-inf	-inf	-inf	-inf	-inf	"[""b'LS   I +59   48'""]"	1	['B']	b'1FGL J0035.9+5951 '	b'bll  '	120.98583221435548	-2.9813830852508545	8.989100456237793	59.8317985534668	b''	b'hbl'	-2.9781200885772705	120.97542572021484	59.8344985538956	8.968984001110746	0
0.20604671788722462	0.20014562124829396	0.1958460331891447	0.2002004023416706	0.1977612253336662	-inf	-inf	-inf	-inf	-inf	-inf	[]	0	[]	b'1FGL J0047.3-2512 '	b'sbg  '	97.50171661376952	-87.95155334472656	11.88659954071045	-25.274999618530273	b''	b'galaxy'	-87.96454620361328	97.36385345458984	-25.288797978695346	11.888061642020118	0
0.19273305612289185	0.20105627320821798	0.20375849820285324	0.19753900752673043	0.20491316493930653	-inf	-inf	-inf	-inf	-inf	-inf	[]	0	[]	b'1FGL J0136.5+3905 '	b'bll  '	132.41331481933594	-22.94395446777344	24.13050079345703	39.09629821777344	b''	b'hbl'	-22.93984603881836	132.41645812988278	39.09977843750721	24.13583164501823	0
0.09685799909811642	0.09787472510612392	0.09932895139342283	0.1002400267080799	0.10063461012514824	-inf	0.0954824057651997	0.10022362844508562	0.10163162815501978	0.10316391495518644	0.10456211024861709	[]	0	[]	b'                  '	b'bll  '	152.35736083984375	-57.52471542358398	28.16200065612793	1.8075000047683718	b''	b'hbl'	-57.54093551635742	152.3774871826172	1.7881609382577623	28.165053677332672	0
0.2215450218441428	0.19404893268388584	0.19094247618259658	0.20171806590444244	0.19174550338493232	-inf	-inf	-inf	-inf	-inf	-inf	[]	0	[]	b'1FGL J0205.6+6449 '	b'PSR  '	130.718505859375	3.0701370239257812	31.395700454711914	64.81500244140625	b''	b'pwn'	3.083847999572754	130.71781921386722	64.82829854275982	31.40432508117465	0
0.20617548511409511	0.2003981606835091	0.1943158908310313	0.20183348158318318	0.19727698178818132	-inf	-inf	-inf	-inf	-inf	-inf	[]	0	[]	b'1FGL J0221.0+3555 '	b'FSRQ '	142.60679626464844	-23.48119926452637	35.28010177612305	35.94070053100586	b''	b'blazar'	-23.486858367919922	142.60171508789062	35.93710054317489	35.272806319967266	0
0.09068278013095	0.09035875890283028	0.09174538900407922	0.09003170601006064	0.09068953775907598	-inf	0.09895548296449225	0.10431451332349854	0.10920457112762477	0.11456360148663108	0.11945365929075732	[]	0	[]	b'1FGL J0222.6+4302 '	b'BLL  '	140.15046691894528	-16.766998291015625	35.673500061035156	43.032901763916016	b''	b'ibl'	-16.766897201538086	140.14295959472656	43.035521425118844	35.66506033147013	0
0.1999584258198169	0.19924394866535092	0.2023015123156903	0.19852278659352648	0.1999733266056154	-inf	-inf	-inf	-inf	-inf	-inf	[]	0	[]	b'1FGL J0222.6+4302 '	b'BLL  '	140.15046691894528	-16.766998291015625	35.673500061035156	43.032901763916016	b''	b'unid'	-16.766897201538086	140.14295959472656	43.035521425118844	35.66506033147013	0
0.09989542277311295	0.10069555233045313	0.10091325601571113	0.10298191956737421	0.09817017707943161	-inf	0.09355765777709295	0.0990929865676819	0.09939772954701381	0.10324552099519557	0.10204977734693282	[]	0	[]	b'                  '	b'bll  '	152.9684600830078	-36.61505889892578	38.21870040893555	20.270999908447266	b''	b'hbl'	-36.60728073120117	152.9411163330078	20.288185785229988	38.202574072396544	0
0.10041303684144702	0.08991734017741225	0.08826202803559677	0.09294390836901935	0.08836647345940553	-inf	0.10160022747289933	0.10761139403716985	0.1079423338742344	0.11212089601112515	0.11082236172169027	"[""b'BD+60   529'"" ""b'EM* MWC   56'"" ""b'LS   I +61  303'""
 ""b'LS   I +61  303'""]"	1	['B' 'B' 'B0Ve' 'B0Ve']	b'1FGL J0240.5+6113 '	b'HMB  '	135.67884826660156	1.0862773656845093	40.137901306152344	61.22809982299805	b''	b'bin'	1.0861347913742063	135.67527770996094	61.22933604902694	40.131949825617966	1
