xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	tev_0.3TeV	tev_1TeV	tev_3TeV	tev_10TeV	tev_30TeV
0.0773466722474004	0.0698468695369123	0.06783188855195091	0.06992795787121861	0.07934377924514982	0.0626616624047297	0.06253236291791564	0.06949256217204622	0.06399995800057642	0.06097071520509582	-0.0	0.06115814656840241	0.0654276236801934	0.06804330378084125	0.06300633770596452	0.05841016011160258
0.08175052280071748	0.07907174798744665	0.06715089834981194	0.06830936458696234	0.08162951621410426	0.061319634138747484	0.06119310386614547	0.06800423615049825	0.06262926738429993	0.059664902048178765	-0.0	0.05984831918368106	0.06402635666962907	0.06658601660587139	0.061656927510121334	0.05715918650378458
0.08085872717200239	0.07523105624614883	0.0738900955548216	0.07736767668088985	-0.0	0.06827522453770793	0.06813434172106925	0.07571807232549514	0.06973341170985936	0.06643279337157121	-0.0	0.06663701582472784	0.07128897520913338	0.07413898172567078	0.06865077766989922	0.06364285025100332
0.07741128763328727	0.06964478349679555	0.06876379458732503	0.073052279039875	0.08373037487893599	0.06184299816723549	0.06171538795679424	0.06858465336083977	0.06316380915285212	0.06017414291260762	-0.0	0.06035912551620636	0.06457282261690146	0.06715432929040187	0.06218317034276569	0.057647041047176495
0.08241853800863903	0.07495505775316222	0.08214780048362093	-0.0	0.07797051100172159	0.0672752888723187	0.06713646937738935	0.07460913124847286	0.06871211993220364	0.06545984132500592	-0.0	0.06566107280572757	0.07024490117871711	0.07305316747130397	0.06764534178135188	0.0627107587603652
0.07872733801025864	0.0708855779959207	0.07279884725894173	0.07303683284236917	0.07655127163078318	0.061902401976441916	0.061774669188945565	0.06865053292333638	0.06322448167809937	0.06023194368893924	-0.0	0.060417103979125246	0.064634848581818	0.06721883494314795	0.06224290090720086	0.05770241439467205
0.07505537488720763	0.06921568872417738	0.06723921198564371	0.06786527391176347	0.07719742645834272	0.06342304123526628	0.06329217067790795	0.0703369407551709	0.06477759796904925	0.06171154795766464	-0.0	0.061901256730582215	0.06622261068964518	0.0688700729578842	0.06377190455941172	0.059119880500282676
0.0679138636962991	0.06120919775723212	0.05898713020148535	0.059286391783994204	0.062412130444183374	0.06803262649001163	0.06789224426339667	0.07544902807634225	0.0694856323776849	0.06619674191829397	-0.0	0.0664002387206927	0.07103566859132132	0.0738755483595175	0.06840684519295287	0.06341671212659196
0.07845225499703211	0.06886172816275261	0.06772235358873624	0.06863183507708363	0.09226522837334027	0.06151467099509495	0.06138773827282167	0.068220534447502	0.06282846973763329	0.05985467576573594	-0.0	0.06003867628863138	0.06423000268780281	0.06679780402988185	0.061853037181721915	0.05734099039422939
0.08478529148643785	0.07575477390507701	0.07589491841027847	-0.0	0.09264841645182313	0.06613270748939831	0.06599624565912045	0.07334199429834905	0.06754513588305996	0.06434809290622434	-0.0	0.06454590673765181	0.0690518848769334	0.07181245649829733	0.06649647554151532	0.06164569985583351
0.07609161829357368	0.07323366033595029	0.06946512653599186	0.06714739923205679	0.07738386481238403	0.0627578179327993	0.06262832003343191	0.0695991998473987	0.06409816716901867	0.0610642759421133	-0.0	0.06125199492245755	0.06552802362912348	0.06814771754127404	0.06310302214492367	0.058499791627502754
0.07536367851262606	0.06970049288249765	0.06637612283536942	0.06665002779993894	0.07201071683341853	0.06406098449602789	0.06392879757180235	0.0710444277577399	0.06542916609425767	0.06233227609311816	-0.0	0.06252389305950663	0.06688871353455271	0.06956280541056911	0.06441335687622346	0.05971454024235154
0.08383346425502321	0.08606154683216465	0.07790217080732997	0.06600674522752425	0.06967913119607583	0.06077049603768747	0.06064509888654972	0.06739523517343397	0.06206840107377408	0.05913058263367389	-0.0	0.05931235720657929	0.06345297895116786	0.0659897162653742	0.061104768832633265	0.05664730662100835
0.06848429945063375	0.06183722083363418	0.060019929367299545	0.06098503066946025	0.06788319603526138	0.06710596719795206	0.066967497090587	0.07442135140779454	0.06853918197249775	0.06529508885611707	-0.0	0.06549581386779456	0.07006810544163937	0.07286930375490278	0.06747508874007159	0.06255292531435414
0.0755618013431112	0.06907654944596527	0.06647499753765679	0.0665827619281236	0.07500875827770127	0.0638043232271042	0.06367266591171897	0.07075978722151167	0.06516702318580127	0.06208254091962965	-0.0	0.062273390169846926	0.06662072292798445	0.06928410101588917	0.06415528382221804	0.05947529306573742
0.07525145877958965	0.0691712865568103	0.06919708001299649	0.0730956341094341	0.08062351559535377	0.06236182935181593	0.06223314855685241	0.06916004359096764	0.06369372126734513	0.06067897325353054	-0.0	0.06086550776674227	0.06511455563507487	0.06771771983174052	0.06270485539824537	0.058130670293500934
