gev_nuFnu10000_100000,gev_nuFnu1000_3000,gev_nuFnu100_300,gev_nuFnu3000_10000,gev_nuFnu300_1000,gev_nuFnu30_100,s_FLUX_U,s_FLUX_B,s_FLUX_V,s_FLUX_R,s_FLUX_I,s_FLUX_G,s_FLUX_J,s_FLUX_H,s_FLUX_K,s_FLUX_u,s_FLUX_g,s_FLUX_r,s_FLUX_i,s_FLUX_z,s_MAIN_ID,s_class,s_nan_spectra,gev_1FGL_Name,gev_CLASS1,marked
1.2573438383251385e-12,2.414663260824525e-11,8.859198964033316e-12,1.480011946218621e-11,2.684171808227649e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'[KRL2007b] 194',Be,True,b'1FGL J1636.4-4737c',b'snr  ',0
4.36797875489929e-06,8.042724200812691e-05,1.7449954155958456e-05,3.9722795701738565e-05,7.974043044576325e-05,0.0,8.700521222239796e-05,3.626979962040217e-05,8.119803842343824e-05,0.00010222236374776663,0.0,0.00017035142453983534,0.006738220360614374,0.08119803842343824,0.9110573757632321,0.0,4.3605978228891364e-05,0.00012289829076651333,0.00014110594409941454,0.0,b'HD 328990',Be,False,b'1FGL J1651.5-4602c',b'     ',0
0.014351311854999986,0.0872688033901599,0.0964804427518592,0.05887287731003067,0.08264020692438392,0.0,4.1921191396554056e-05,2.2512988992073533e-05,0.0001788272636580731,0.00081739801480244,0.004192119139655406,0.000623926662707065,0.05707336004906062,0.16048476102212839,0.43695153143616566,0.0,0.0,0.0,0.0,0.0,b'UCAC2   5051621',Be,False,b'                  ',b'spp  ',0
0.05414630968022116,0.1237049089922955,0.4429596012963079,0.12131089585591104,0.18879367115199136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.608360082740308e-07,0.00027393605304322385,0.06880971613422143,0.0,0.0,0.0,0.0,0.0,b'SSTGC 519103',Be,False,b'1FGL J1745.6-2900c',b'spp  ',0
0.046428289043316286,0.23221159320628895,0.27101113257261333,0.14526094482372434,0.3043594408016546,0.0,0.0,2.8315402868095166e-05,2.624356030018115e-05,0.0,4.9776302224025664e-05,8.377657447697506e-05,0.00011968043235692894,0.0001330523888686331,0.0002877548913077484,0.0,0.0,0.0,0.0,0.0,b'LIN 341',Be,False,b'1FGL J0101.3-7257 ',b'GAL  ',0
0.001523725368625881,0.006399917180702923,0.0162309214747814,0.004016086097554415,0.008842059450976481,0.0,0.1508755662767653,0.034563568114102744,0.052314114065950816,0.0,0.0,0.06346281420968514,0.19797891674467913,0.20874626189674542,0.25504604911943024,0.0,0.0,0.0,0.0,0.0,b'LS  VI -04   15',B,False,b'                  ',b'     ',0
0.00015732511943756993,0.0026202240976716134,0.008954646014143986,0.0010902945798686617,0.00388106708312441,0.0,0.0,0.0069875338431071195,0.015287063759055397,0.0,0.0,0.031544530492915904,0.24735671844789386,0.32458148377716733,0.3575391127856141,0.0,0.0,0.0,0.0,0.0,b'LS   I +56   58',B,False,b'                  ',b'     ',0
1.4352952641299027e-05,0.13131277378160608,0.41303459009341953,0.07424117044902165,0.37053905962315514,0.0,0.0,0.00021356729117262004,0.00044620500157859866,0.00031588922730508016,0.0,0.000529461330132825,0.0016808720189987235,0.002262217500449233,0.003455686791452813,0.00022005653679029748,0.0004915121421234266,0.00047482640424660865,0.000417382419014645,0.0003503764368912777,b'PG 1101+529',B,False,b'                  ',b'     ',0
1.1444221890463064e-05,0.2401991560566406,0.3359969120958969,0.08313827589334816,0.3247327561959127,0.0,0.0,0.0,0.0159214555363112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b'GALEX J175340.5-500741',B,False,b'1FGL J1754.0-5002 ',b'bcu  ',0
0.019412567034146032,0.11804575866776683,0.13050605277956012,0.07963548481289875,0.11178480217307656,0.0,0.0020119870177140228,0.0020588487797785176,0.007649359952906573,0.01457554594595196,0.029759408626566865,0.00938479033348412,0.09454206967373235,0.1826519880335048,0.19798133616891264,0.0,0.0,0.0,0.0,0.0,b'HD 306182',B,False,b'                  ',b'spp  ',0
